Search1,Search2
Spotfire Developer,"Spotfire Consultant,Tibco spotfire developer"
Oracle EBS,"Oracle Applications"
digital marketing,"Product Marketing Manager"
Big data engineer,"Hadoop Developer,Data Engineer,Big Data Engineer"
QA engineer,"Software Tester, Quality Engineer, Automation QA , QA Analyst"
Front end full stack Developer,"Front End Engineer, JavaScript Developer, Web Developer, UI Developer, Full Stack Engineer"
React Developer,"JavaScript Full Stack,Full Stack Developer"
SAP HANA BASIS consultant,"SAP HANA ,HANA"
IAM Consultant,"IAM Engineer"
Hadoop Admin,"hadoop Admin,bigdata admin"
Technical Project Manager,"Operations  Delivery"
Data Engineer,"Migration Developer,Data Migration Engineer,Data Architect"
Full Stack Java Developer,"Java  Developer"
Oracle HCM Consultant,"Oracle HCM,Oracle HCM Cloud,Oracle Talent Management, Oracle HR Management Suite"
Share Point,"Microsoft 365 Developer,SharePoint Developer, Sharepoint Administrator"
DevOps Engineer,"""DevOps"""
AWS DevOps Engineer,"Devops,AWS,Azure,SRE,System Admin,Cloud Engineer,Devops Engineer"
Java Lead,"Lead Java"
Salesforce Technical Manager,"""Salesforce Lead"", ""Lead Salesforce """
Java Developer,"Java Developer"
Senior java backend developer,"""java backend """
OpenStack ,"Linux Admin, Linux DevOps Engineer,  Cloud Engineer ,  Linux System Administrator"
iOS Developer,"iOS Developer"
PROJECT MANAGER,"""TECHNICAL PROJECT MANAGER"""
Oracle EBS Technical Apps Consultant,"Oracle Could Technical, Oracle apps Technical"
Salesforce Admin,"Salesforce Admin"
Business Systems Analyst,"Business Analysit"
Senior Data Analyst,"Data Analyst,Data Engineer"
QA Automation,"Automation Test ,SDET"
Product Analyst,"Product analyst, product manager"
